Answer,Question,Source File,Sr.No,Option A,Option B,Option C,Option D
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 505 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 A to Z characters are also Number keys Function Alpha Keys Insert Keys called as ____________ Keys 2 A Web page means TRUE FALSE Collection of Information. 3 Accuracy is one of the TRUE FALSE characteristics of computer 4 Actual data processing is Control Input Output Arithmetic & done by _________ unit of Logical computer 5 All programs can be Start Main Functional None Of started from ___________ Above menu. … … … 6 view helps to set Page Layout outline view normal web layout outline of current document … … 7 indicates two lines of 1 2.5 2 3 spacing in between two lines of text 8 A file which is open can be menu close title None of these closed with the _____ command from the File Menu 9 A file which is open can be open delete close Esc closed with the _____command 10 A number of letter that Toptext Superscript Subscript Supertext appears little below the normal text is called _______ 11 For Normal Arial Font, 10 11 15 14 Row height is ____ points by default 12 Formula can be use for Mathematical Addition Subtractions Multiplications _____________ In Excel. Calculations 13 Formula means instruction Addition Substruction Multiplication Calculation to perform ___________ 14 Function always starts with * ? ! = __________ Symbol. 15 Functions means inbuilt MS-Word MS-Excel MS-PowerPoi None of these formula basically available nt in _____________ Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 Fly from left Bottom is Animation Action Background None of the ________ effect. above 17 Fly in is a ___________ Action Animation Background None of these effect in PowerPoint. 18 Fly through is a Animation Action Background Slide ____________ effect in PowerPoint. 19 Following slides are Title Blank Two content All of these present in PowerPoint. 20 Font color of text in a slide Insert Home View Review can be changed using font color command from ______ tab. … … … 21 .. Is a Microsoft's Windows Navigator File Manger Internet web browser that installs Explorer Explorer with windows by default. … … … 22 .. Is an example of Compiler Interpreter Program Floppy Drive hardware. … … … … 23 .are used for Inkjet printers Plotters Dot Matrix Laser Printers Engineering drawing, Printers maps etc. … … … … 24 .software are used System Application Virtual Compiler to perform a specific task. … … … … … 25 .. Is an example Binary Java Bite Code Bit Code of programming language.",BATCH_-_(505).pdf,,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 705 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Computer is basically Hardcopy, Hardware, Software, None Of divided into ___________ Softcopy Software Antivirus Above and ____________ 2 Computer keyboard is Number Text Function Control having set of --------- key on right side. 3 Computer keyboard layout Typewriter Musical Both A And B None Of is same as ___________ Above keyboard. 4 Computer Memory is Bits Byte File Data calculated in ___________ 5 Computer not only work True False fast but accurate also. 6 Ctrl+___ is used for Left A L C D Align 7 ctrl+___ is used for to cut Y X Z B the selection 8 Ctrl+_____ key used for A B C D selecting the whole or complete document Ctrl+ … 9 ... is used for 2 3 4 5 Double Line Spacing Ctrl+ … 10 ... with an arrow key SHIFT delete undo redo used for to select a block of text 11 In Excel options to change Alignment Number Font Group Clipboard the font Size ,color and Font face are available in ______________ 12 In Excel Redo Short Cut Ctrl+ Z Ctrl + Y Ctrl + S Ctrl + X key __________ 13 In Excel Sequencially Cell span Line Cell range None of these Selected cells are called _______________ 14 In Excel Short cut Ctrl + V Ctrl + H Ctrl + F Ctrl + G Command for Replace _____________ 15 In Excel Spelling option is Insert Review Data View available in ________ Menu Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 In a slide selected text Font Size Font Color Font style None of these matter can be given a different color using ___ command from Home Tab. 17 In a slide show using ESC Enter a slide Exit from to go to next None of These we can ____________ show Slide Show slide 18 In Insert=>Media option Only Audio Only Video Audio & Video None of these which of the following are present? 19 In Ms Powerpoint 2019 TRUE FALSE Drawing Group is under Home Tab. In Ms Powerpoint 2019 under the Design tab … … … 20 Thems Page Backgroup None of these Orientation .. Option are avilable in Page setup group. Automated Transactions for the purchase of goods over the internet is called … … 21 Commerce Purchase E-shopping Web shopping 22 AVI stands Actual Video Audio Auto Video Audio Video for_______________ Interface Varying Interaction Interface Interface 23 BCC Means Blank Carbon TRUE FALSE Copy 24 BCC Means____ Blank Blind Carbon Bank Carbon Branch Carbon Copy Copy Copy Carbon Copy 25 Before sending email to Photo ID Email ID Address ID Web ID anyone you should have your own _____",BATCH_-_(705).pdf,,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 402 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ____________ Is type of Computer Laptop Mobile All Of Above electronic device 2 ____________ Printer use Inkjet Dot Matrix Plotter Laser ink ribbon. 3 ____________ Printer use Inkjet Character Plotter Laser liquid ink. 4 ____________ Printer use Inkjet Character Plotter Laser toner. 5 _____________ Are faster Mainframe Mini Micro Hybrid than micro computers Computer Computer Computer Computers 6 _____tab is used for ruler Data Formula View Insert show and hide 7 ____Following option is not Chart Graph Clipart word art available in insert-picture. 8 ____indicates two lines of 1 2.5 2 3 spacing in between two lines of text … 9 .. Is a Paragraph Format Left Indent Right Indent Hanging First Line in which the first line of the Indent Indent paragraph is started from outer side than other lines of paragraph. … 10 ...command facility is Auto Text Auto Correct Auto Format None used to correct the common spelling mistakes. 11 By using ___________ Preview Print Page Layout All of these Option we get the Printouts. 12 By using _____option, we contents Cell contents Comments None of the can add the cell comments above By using … … … … … … 13 Open New Save Close Command we can save the current workbook. 14 By using Exit option, what Quit Excel Open Excel Close file Open file action is done in Excel 15 Open, Save ,Undo, Redo review tab data tab Quick Access Page layout etc. options can be part of Toolbar tab ? 16 BMP means Bitmap Image TRUE FALSE Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Bullets option is available Clipboard Slides Paragraph Font in ______ group in Powerpoint. 18 By default the font size of 40 44 42 43 the Title Text box of Title slide is -------------- 19 By pressing Close Exit Escape None of these __________________ key we can stop the running slide show. 20 By using exit option in Open Open a file in Exit None of these PowerPoint, what action is PowerPoint PowerPoint PowerPoint performed? 21 _______________ Is World Wide HTTP Google HTML Search Engine. Web 22 ________________ allows Server Client Modem None of above the clients to share its recourses. 23 ________________ Browser Chrome Firefox Opera Internet is developed in Google Explorer Corporation. 24 ________________ Browser Chrome Firefox Opera Internet is developed in Microsoft Explorer Corporation. 25 ________________ is an MS Word Outlook MS Excel MS Access E-Mail program. express",BATCH_-_(402).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 203 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 _______ was the first Postcard Email Envelope None of these electronic messaging system. 2 ________ Is not input Keyboard Mouse Printer Microphone devices. 3 ________ allows Data notepad Network WordPad information to be shared. 4 ________ Are input Keyboard Mouse Scanner All Of Above devices. 5 ________ Are types of flash Sd Mmc Memory Stick All of these memory cards 6 ctrl+R is used for Right TRUE FALSE Alignment 7 _____ Bar is displayed in Title Bar Status Bar Scroll Bar Format Bar the bottom side of Microsoft word application window 8 _____ Cannot be resized. Dialog box Window Word Wizard 9 _____ command is present sort page number margin orientation in home tab 10 _____ is the default 3 10 15 20 number of lines to drop for drop cap. 11 __________ Function Lower() Capital() Upper() Case() makes the text given in the brackets converted into capital cases and inserted in the cell 12 __________ Function Upper() Capital() Lower() Case() makes the text given in the brackets converted into small cases and inserted in the cell 13 __________ Functions =Int() =If() =Max() =Round() converts the number into nearest integer. 14 __________ is the correct page layout click on view review tab -> data tab -> option to sort data after tab and click tab -> sort sorting data sort & filter selecting it in MS Excel on sort button",BATCH_-_(203).pdf,,,,,
D,. Sr.No Question Option A Option B Option C Option D Provisional Ans. 15 __________ Means in built Programs Value Figures Functions formula basically available in Excel. 16 _________ View is used to Slide Slide show Outline Slide Sorter adjust or arrange the matter in the slide. 17 __________ Transitions Honeycomb Glitter Vortex All of these available in MS PowerPoint 18 __________ various Shred Switch Flip All of these Transitions available in MS PowerPoint 19 __________ are Transitions Fade Push Wipe All of these available in MS PowerPoint 20 __________ can be Paper Page Hyperlink None of these inserted in PowerPoint presentation. 21 _______ is a world Wide LAN Cyberspace World Wide Intercom system of network. Web 22 _______ Is an example of Linux Unix C++ Cyrix Microprocessor. 23 _______ Is an example of Unix Windows NT C++ Linux programming language. 24 ________ is an example of RAM ROM Cache DVD external memory. 25 ________ were used in Vacuum Transistors Integrated Microprocesso fourth generation Tubes Circuits rs computers.,BATCH_-_(203).pdf,2019,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 305 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ___________ Is not type of Plotter Laser Solid Dot Matrix printer 2 ___________ Is primary RAM ROM CACHE All Of Above memory. 3 ___________ Is volatile RAM ROM CACHE None Of memory. Above 4 ____________ Are activities Deleting Erasing Data Corrupting All Of Above of virus Files Data 5 ____________ Are parts of 5 3 4 None Of binary system Above 6 _____________________ is F12 Shift F12 Alt + F12 Ctrl + F12 the short cut key to open the Open dialog box? 7 _____________key used for ctrl+L ctrl+R ctrl+V ctrl+J left align 8 ________means WordArt font styles Font size Template readymade formats provided by words. 9 ______are the filter option AutoFilter CustomerFilt AdvanceFilter All of these er 10 ______bar displays name Menu Task Title status of document with program name 11 Auto Sum option is Formula Data Insert None of these available in ______ Autofill Option is used to get 1,2,3,4 … … . Numbers in … … … … 12 Serial Down Up None of the Number above .. Column. 13 Autosum button is TRUE FALSE available in data tab in MS Excel 2019 . 14 In Ms-Excel XFD is the true false heading of column 15 Below the ______ area, we worksheet Cell Row Column get sheet Tabs 16 Arrange command is Font Paragraph Drawing Editing availabe in ______ group in PowerPoint Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 As soon as clipart in true false inserted, free rotate button / option is available. 18 Background Command Insert Design Tools File group is in ____________ Tab. 19 Background group is in Insert Design Tools File _____Tab. 20 Background Styles Home Insert Transition Design command is available in ___________ tab in PowerPoint 21 ____________ Is the LAN MAN WAN Internet biggest Network in the world. 22 ____________ is the most HTML TCP/IP IPX/SPX NetBEUL common internet protocol. 23 ____________ is Web Internet MS Word MS Excel MS Browser software Explorer PowerPoint 24 ____________ shortcut key F1 F2 F4 F6 is used to see all the list of Internet Addresses. 25 _____________ Is a gadget MS Word MS Excel MS Calendar provided by Windows 10. PowerPoint",BATCH_-_(305).pdf,,,,,
,tb = … … … … … … 1,BATCH_-_(501).pdf,1,,,,
,Mb 100 Gb 1024 Mb 1024 Gb D 2,BATCH_-_(501).pdf,100,,,,
,Byte = ____ Bits 2 4 8 12 C,BATCH_-_(501).pdf,1,,,,
,gb = … … … … … … 3,BATCH_-_(501).pdf,1,,,,
,Bits 1024 Bits 1024 Mb 1024 Tb C 4,BATCH_-_(501).pdf,1000,,,,
